input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
ZT4TacW_Ce-3vr0P_qHw0AI,,Mei's Food,,"Main St, Golspie, KW10 6TG, United Kingdom",{},null,,4.41409E+11,9C9RX2FF+CP,83,4.3,null,57.973506,-3.975626,,,,,,Europe/London,,0x488ff5136a008651:0xc70ae4876fd0c587,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
ZT4TacvwL_6Cvr0Pk5m54Qs,,Golspie Inn,,"Old Bank Rd, Golspie, KW10 6RS, United Kingdom",{},null,https://www.golspieinn.co.uk/,4.41409E+11,9C9RX2HP+9G,372,4.2,null,57.978491,-3.963729,,,,,,Europe/London,,0x488ff56dc8feb74b:0xbf8412e9a469b2bb,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
ZT4TacvwL_6Cvr0Pk5m54Qs,,The salt house,,"Main St, Golspie, KW10 6RA, United Kingdom",{},null,,,9C9RX2FG+F2,66,4.9,null,57.973729,-3.974982,,,,,,Europe/London,,0x488ff55f49516545:0x56d73ddb7e84520f,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
ZT4TacvwL_6Cvr0Pk5m54Qs,,Mei's Food,,"Main St, Golspie, KW10 6TG, United Kingdom",{},null,,4.41409E+11,9C9RX2FF+CP,83,4.3,null,57.973506,-3.975626,,,,,,Europe/London,,0x488ff5136a008651:0xc70ae4876fd0c587,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
ZT4TacvwL_6Cvr0Pk5m54Qs,,The Trawler Fish & Chips,,"Main St, Golspie, KW10 6TG, United Kingdom",{},null,https://www.thetrawlergolspie.co.uk/?utm_source=GBP.website&utm_medium=GBP&utm_campaign=br1308-website,4.41409E+11,9C9RX2FF+68,1173,4.4,null,57.97305,-3.976703,,,,,,Europe/London,,0x488ff5137f418f1f:0x3442f955f85a5865,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
ZT4TacvwL_6Cvr0Pk5m54Qs,,Sid's Spice,,"SId's Spice takeaway, Station Square, Brora KW9 6QJ, United Kingdom",{},null,https://www.sidspice.com/,4.41409E+11,9CCR247W+3R,427,4.6,null,58.012676,-3.852919,,,,,,Europe/London,,0x48855eec027b59e7:0x269769fd4ab86fae,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
ZT4TacvwL_6Cvr0Pk5m54Qs,,The Curing Yard Restaurant,,"7 Golf Rd, Brora, KW9 6QS, United Kingdom",{},null,https://www.royalmarinebrora.com/gather/the-curing-yard-restaurant?utm_source=google&utm_medium=local&utm_campaign=the-curing-yard,4.41409E+11,9CCR2562+VV,15,4.3,null,58.012144,-3.847778,,,,,,Europe/London,,0x48855fce3e89e2b9:0xba6fae24ae499d7d,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
ZT4TacvwL_6Cvr0Pk5m54Qs,,Tall Pines,,"Milltown, Evelix, Dornoch IV25 3NG, United Kingdom",{},null,,4.41863E+11,9C9QVWQC+R9,187,4.2,null,57.88959,-4.079073,,,,,,Europe/London,,0x488f8c60bb51f063:0x33a17bf68f7cacbd,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
ZT4TacvwL_6Cvr0Pk5m54Qs,,Surf and Turf,,"8 Castle St, Dornoch, IV25 3SR, United Kingdom",{},null,https://www.facebook.com/surfandturfhq/,4.41863E+11,9C9QVXJ8+6V,330,4.8,null,57.880574,-4.03284,,,,,,Europe/London,,0x488f8b222c8200d5:0x6bd1df28f5496977,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
ZT4TacvwL_6Cvr0Pk5m54Qs,,Luigi,,"1 Castle St, Dornoch, IV25 3SN, United Kingdom",{},null,http://www.luigidornoch.com/,4.41863E+11,9C9QVXJ9+52,478,4.7,null,57.880478,-4.032394,,,,,,Europe/London,,0x488f8b92295f3235:0x28ee55a47eb50f3d,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
ZT4TacvwL_6Cvr0Pk5m54Qs,,Sutherland House (Dornoch) Ltd,,"Argyle St, Dornoch, IV25 3LA, United Kingdom",{},null,,4.41863E+11,9C9QVXJF+23,37,4.4,null,57.880115,-4.027271,,,,,,Europe/London,,0x488f8b943d4c1cd5:0x2dad4dcf76c0403a,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
